District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Bela,14-Feb-23,0,6.8,75.9
Adilabad,Bela,15-Feb-23,0,6.3,75.6
Adilabad,Bela,16-Feb-23,0,6.4,71.2
Adilabad,Bela,17-Feb-23,0,7.7,72.0
Adilabad,Bela,18-Feb-23,0,12.6,77.1
Adilabad,Bela,19-Feb-23,0,14.5,78.8
Adilabad,Bela,20-Feb-23,0,13.9,78.8
Adilabad,Bela,21-Feb-23,0,10.2,76.3
Adilabad,Bela,22-Feb-23,0,7.7,73.1
Adilabad,Bela,23-Feb-23,0,5.9,65.7
Adilabad,Bela,24-Feb-23,0,6.3,64.4
Adilabad,Bela,25-Feb-23,0,7.7,67.0
Adilabad,Bela,26-Feb-23,0,5.3,67.2
Adilabad,Bela,27-Feb-23,0,5.1,59.7
Adilabad,Bela,28-Feb-23,0,10.2,72.1
Adilabad,Bheempoor,02-Apr-23,0,23.6,92.7
Adilabad,Bheempoor,02-Aug-23,0,30.3,89.5
Adilabad,Bheempoor,02-Dec-23,0,17.6,85.8
Adilabad,Bheempoor,02-Feb-23,0,46.0,94.8
Adilabad,Bheempoor,02-Jan-23,0,44.8,90.3
Adilabad,Bheempoor,02-Jul-23,0,19.2,87.5
Adilabad,Bheempoor,02-Jun-23,0,23.7,87.1
Adilabad,Bheempoor,02-Mar-23,0,23.0,92.1
Adilabad,Bheempoor,02-May-23,0,13.9,87.1
Adilabad,Bheempoor,02-Nov-23,0,22.2,74.2
Adilabad,Bheempoor,02-Oct-23,0,24.8,87.0
Adilabad,Bheempoor,02-Sep-23,0,27.2,93.4
Adilabad,Bheempoor,13-Feb-23,0,18.7,81.1
Adilabad,Bheempoor,14-Feb-23,0,15.5,83.5
Adilabad,Bheempoor,15-Feb-23,0,16.4,83.5
Adilabad,Bheempoor,16-Feb-23,0,16.4,79.1
Adilabad,Bheempoor,17-Feb-23,0,17.7,75.7
Adilabad,Bheempoor,18-Feb-23,0,22.5,80.8
Adilabad,Bheempoor,19-Feb-23,0,25.6,85.7
Adilabad,Bheempoor,20-Feb-23,0,23.8,87.6
Adilabad,Bheempoor,21-Feb-23,0,21.2,84.8
Adilabad,Bheempoor,22-Feb-23,0,18.6,80.3
Adilabad,Bheempoor,23-Feb-23,0,17.1,78.7
Adilabad,Bheempoor,24-Feb-23,0,15.9,73.5
Adilabad,Bheempoor,25-Feb-23,0,16.4,73.5
Adilabad,Bheempoor,26-Feb-23,0,15.7,70.7
Adilabad,Bheempoor,27-Feb-23,0,15.7,70.2
Adilabad,Bheempoor,28-Feb-23,0,22.5,76.0
Adilabad,Boath,02-Apr-23,0,22.9,80.7
Adilabad,Boath,02-Aug-23,0,34.3,89.1
Adilabad,Boath,02-Dec-23,0,23.3,80.8
Adilabad,Boath,02-Feb-23,0,46.5,87.5
Adilabad,Boath,02-Jan-23,0,46.8,82.2
Adilabad,Boath,02-Jul-23,0,24.4,88.2
Adilabad,Boath,02-Jun-23,0,20.3,80.6
Adilabad,Boath,02-Mar-23,0,30.5,80.3
Adilabad,Boath,02-May-23,0,26.0,86.2
Adilabad,Boath,02-Nov-23,0,20.9,87.5
Adilabad,Boath,02-Oct-23,0,19.6,82.0
Adilabad,Boath,02-Sep-23,0,33.2,86.9
Adilabad,Boath,13-Feb-23,0,33.8,75.4
Adilabad,Boath,14-Feb-23,0,21.6,75.9
Adilabad,Boath,15-Feb-23,0,18.9,80.1
Adilabad,Boath,16-Feb-23,0,20.3,80.2
Adilabad,Boath,17-Feb-23,0,20.5,74.6
Adilabad,Boath,18-Feb-23,0,25.0,74.8
Adilabad,Boath,19-Feb-23,0,30.5,83.6
Adilabad,Boath,20-Feb-23,0,25.5,89.9
Adilabad,Boath,21-Feb-23,0,26.8,88.1
Adilabad,Boath,22-Feb-23,0,22.8,83.2
Adilabad,Boath,23-Feb-23,0,18.5,80.7
Adilabad,Boath,24-Feb-23,0,17.3,75.1
Adilabad,Boath,25-Feb-23,0,20.0,69.8
Adilabad,Boath,26-Feb-23,0,18.5,74.7
Adilabad,Boath,27-Feb-23,0,21.9,76.5
Adilabad,Boath,28-Feb-23,0,28.0,81.4
Adilabad,Gadiguda,02-Apr-23,0,30.4,69.5
