District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Bazarhathnoor,28-Mar-23,0.0,27.6,71.7
Adilabad,Bazarhathnoor,29-Mar-23,0.0,24.9,92.2
Adilabad,Bazarhathnoor,30-Mar-23,0.0,33.7,94.5
Adilabad,Bazarhathnoor,31-Mar-23,0.0,29.6,78.4
Adilabad,Bela,03-Apr-23,0.0,16.0,68.5
Adilabad,Bela,03-Aug-23,0.0,21.4,69.6
Adilabad,Bela,03-Dec-23,0.0,10.2,60.3
Adilabad,Bela,03-Feb-23,0.0,11.5,75.1
Adilabad,Bela,03-Jan-23,0.0,15.3,71.2
Adilabad,Bela,03-Jul-23,0.0,12.2,58.7
Adilabad,Bela,03-Jun-23,0.0,12.8,69.7
Adilabad,Bela,03-Mar-23,0.0,15.1,68.0
Adilabad,Bela,03-May-23,0.0,9.6,69.3
Adilabad,Bela,03-Nov-23,0.0,10.9,55.4
Adilabad,Bela,03-Oct-23,0.0,8.9,57.8
Adilabad,Bela,03-Sep-23,0.0,13.2,59.7
Adilabad,Bela,13-Mar-23,0.0,10.2,61.8
Adilabad,Bela,14-Mar-23,0.0,8.3,55.9
Adilabad,Bela,15-Mar-23,0.0,10.2,53.0
Adilabad,Bela,16-Mar-23,1.4,12.8,63.2
Adilabad,Bela,17-Mar-23,0.0,24.9,71.6
Adilabad,Bela,18-Mar-23,0.0,35.4,81.9
Adilabad,Bela,19-Mar-23,3.6,44.2,100.0
Adilabad,Bela,20-Mar-23,0.0,29.2,91.7
Adilabad,Bela,21-Mar-23,0.0,21.0,78.1
Adilabad,Bela,22-Mar-23,0.0,17.8,59.4
Adilabad,Bela,23-Mar-23,0.0,17.8,72.6
Adilabad,Bela,24-Mar-23,0.0,14.7,65.8
Adilabad,Bela,25-Mar-23,0.0,16.6,78.3
Adilabad,Bela,26-Mar-23,1.2,39.0,82.5
Adilabad,Bela,27-Mar-23,6.0,32.1,81.5
Adilabad,Bela,28-Mar-23,0.0,9.1,64.6
Adilabad,Bela,29-Mar-23,0.0,7.2,75.0
Adilabad,Bela,30-Mar-23,0.0,13.4,77.6
Adilabad,Bela,31-Mar-23,0.0,10.2,67.0
Adilabad,Bheempoor,03-Apr-23,0.0,25.9,77.8
Adilabad,Bheempoor,03-Aug-23,0.0,34.1,87.0
Adilabad,Bheempoor,03-Dec-23,0.0,20.5,60.0
Adilabad,Bheempoor,03-Feb-23,0.0,23.8,77.8
Adilabad,Bheempoor,03-Jan-23,0.0,24.5,74.3
Adilabad,Bheempoor,03-Jul-23,0.0,24.5,61.9
Adilabad,Bheempoor,03-Jun-23,0.0,23.8,73.4
Adilabad,Bheempoor,03-Mar-23,0.0,24.5,76.5
Adilabad,Bheempoor,03-May-23,0.0,21.2,72.5
Adilabad,Bheempoor,03-Nov-23,0.0,23.6,67.7
Adilabad,Bheempoor,03-Oct-23,0.0,20.5,63.3
Adilabad,Bheempoor,03-Sep-23,0.0,18.4,67.6
Adilabad,Bheempoor,13-Mar-23,0.0,20.5,66.4
Adilabad,Bheempoor,14-Mar-23,0.0,21.2,63.3
Adilabad,Bheempoor,15-Mar-23,0.0,22.3,55.2
Adilabad,Bheempoor,16-Mar-23,0.0,24.5,55.2
Adilabad,Bheempoor,17-Mar-23,0.0,29.2,80.3
Adilabad,Bheempoor,18-Mar-23,0.5,39.2,81.4
Adilabad,Bheempoor,19-Mar-23,0.0,44.3,100.0
Adilabad,Bheempoor,20-Mar-23,0.0,31.4,81.4
Adilabad,Bheempoor,21-Mar-23,0.0,34.5,75.7
Adilabad,Bheempoor,22-Mar-23,0.0,26.6,64.0
Adilabad,Bheempoor,23-Mar-23,0.0,37.3,76.2
Adilabad,Bheempoor,24-Mar-23,0.0,27.2,60.9
Adilabad,Bheempoor,25-Mar-23,0.0,24.1,74.6
Adilabad,Bheempoor,26-Mar-23,0.0,31.9,68.4
Adilabad,Bheempoor,27-Mar-23,0.0,39.1,66.7
Adilabad,Bheempoor,28-Mar-23,0.0,18.7,54.1
Adilabad,Bheempoor,29-Mar-23,0.0,16.6,87.0
Adilabad,Bheempoor,30-Mar-23,0.0,22.7,77.0
Adilabad,Bheempoor,31-Mar-23,0.0,19.3,62.6
Adilabad,Boath,03-Apr-23,0.0,31.5,81.4
Adilabad,Boath,03-Aug-23,0.0,38.8,83.4
