District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,Adilabad Rural,2023,2,0.0,0,0.0,25.942105263157895,66.21578947368421,41,2.433333333333333,-100.0,80.1,SEVERE,0.0,26.7,3
Adilabad,Adilabad Rural,2023,3,0.8,1,0.8,32.32727272727273,73.40454545454546,58,10.533333333333333,-92.4,74.9,SEVERE,0.0,80.1,3
Adilabad,Adilabad Rural,2023,4,11.4,5,5.3,30.353333333333335,66.51666666666667,23,24.333333333333332,-53.2,54.3,MODERATE,0.8,74.9,1
Adilabad,Adilabad Rural,2023,5,14.1,5,9.0,32.438709677419354,67.9,16,64.0,-78.0,56.8,MODERATE,11.4,54.3,1
Adilabad,Adilabad Rural,2023,6,98.1,12,44.6,40.54,72.38666666666667,10,179.5666666666667,-45.4,36.4,MILD,14.1,56.8,0
Adilabad,Adilabad Rural,2023,7,734.0,25,147.6,70.63225806451612,96.81290322580645,4,548.4,33.8,5.0,NORMAL,98.1,36.4,2
Adilabad,Adilabad Rural,2023,8,141.29999999999998,15,56.4,65.65483870967742,96.98709677419355,5,262.5,-46.2,24.4,MILD,734.0,5.0,0
Adilabad,Adilabad Rural,2023,9,309.8,19,63.5,71.57,96.85333333333332,7,321.56666666666666,-3.7,9.4,NORMAL,141.29999999999998,24.4,2
Adilabad,Adilabad Rural,2023,10,0.0,0,0.0,47.119354838709675,94.0516129032258,31,68.53333333333333,-100.0,71.8,SEVERE,309.8,9.4,3
Adilabad,Adilabad Rural,2023,11,47.6,3,35.1,51.71666666666667,94.23333333333333,57,20.0,138.0,31.7,MILD,0.0,71.8,0
Adilabad,Adilabad Rural,2023,12,3.6,1,3.6,53.20967741935484,97.55806451612904,24,3.0666666666666664,17.4,24.7,MILD,47.6,31.7,0
Adilabad,Adilabad Rural,2024,1,0.0,0,0.0,46.26451612903226,91.79354838709678,55,0.0,0.0,32.5,MILD,3.6,24.7,0
Adilabad,Adilabad Rural,2024,2,7.3,3,4.5,37.782758620689656,80.84827586206896,66,2.433333333333333,200.0,35.7,MILD,0.0,32.5,0
Adilabad,Adilabad Rural,2024,3,29.8,5,16.6,31.306451612903224,70.7709677419355,18,10.533333333333333,182.9,26.8,MILD,7.3,35.7,0
Adilabad,Adilabad Rural,2024,4,49.5,11,11.5,32.67333333333333,71.59666666666666,8,24.333333333333332,103.4,16.5,NORMAL,29.8,26.8,2
Adilabad,Adilabad Rural,2024,5,27.900000000000002,6,17.0,33.12903225806452,66.51612903225806,7,64.0,-56.4,39.6,MILD,49.5,16.5,0
Adilabad,Adilabad Rural,2024,6,258.2,20,54.8,48.11333333333334,87.01,9,179.5666666666667,43.8,12.9,NORMAL,27.900000000000002,39.6,2
Adilabad,Adilabad Rural,2024,7,635.0,26,97.0,74.05806451612904,97.08709677419354,2,548.4,15.8,2.9,NORMAL,258.2,12.9,2
Adilabad,Adilabad Rural,2024,8,187.1,21,41.5,69.10645161290323,97.83225806451614,2,262.5,-28.7,14.1,NORMAL,635.0,2.9,2
Adilabad,Adilabad Rural,2024,9,222.6,19,88.0,73.61,99.09666666666666,9,321.56666666666666,-30.8,21.6,MILD,187.1,14.1,0
Adilabad,Adilabad Rural,2024,10,64.19999999999999,11,21.4,66.39354838709679,99.83548387096775,8,68.53333333333333,-6.3,10.6,NORMAL,222.6,21.6,2
Adilabad,Adilabad Rural,2024,11,0.3,1,0.3,48.486666666666665,97.99,29,20.0,-98.5,69.0,MODERATE,64.19999999999999,10.6,1
Adilabad,Adilabad Rural,2024,12,5.6000000000000005,4,4.9,52.648387096774194,96.66451612903225,31,3.0666666666666664,82.6,31.0,MILD,0.3,69.0,0
Adilabad,Adilabad Rural,2025,1,0.0,0,0.0,38.483870967741936,88.12258064516129,34,0.0,0.0,33.6,MILD,5.6000000000000005,31.0,0
Adilabad,Adilabad Rural,2025,2,0.0,0,0.0,29.939285714285713,75.0,62,2.433333333333333,-100.0,77.5,SEVERE,0.0,33.6,3
Adilabad,Adilabad Rural,2025,3,1.0,1,1.0,25.516129032258064,63.83870967741935,82,10.533333333333333,-90.5,77.0,SEVERE,0.0,77.5,3
Adilabad,Adilabad Rural,2025,4,12.1,4,6.4,26.84,60.17666666666666,14,24.333333333333332,-50.3,46.1,MODERATE,1.0,77.0,1
Adilabad,Adilabad Rural,2025,5,150.0,11,51.7,48.957142857142856,84.68571428571428,5,64.0,134.4,9.6,NORMAL,12.1,46.1,2
Adilabad,Adilabad Rural,2025,6,182.4,13,89.4,62.79,91.985,2,179.5666666666667,1.6,4.4,NORMAL,150.0,9.6,2
Adilabad,Adilabad Rural,2025,7,276.2,22,46.4,76.62413793103448,98.42758620689655,3,548.4,-49.6,23.3,MILD,182.4,4.4,0
Adilabad,Adilabad Rural,2025,8,459.09999999999997,21,126.0,75.29354838709678,97.99354838709678,3,262.5,74.9,3.6,NORMAL,276.2,23.3,2
Adilabad,Adilabad Rural,2025,9,432.3,21,94.5,75.55333333333333,98.07666666666667,4,321.56666666666666,34.4,4.6,NORMAL,459.09999999999997,3.6,2
Adilabad,Adilabad Rural,2025,10,141.4,13,44.9,63.79354838709677,93.12258064516129,8,68.53333333333333,106.3,10.1,NORMAL,432.3,4.6,2
Adilabad,Adilabad Rural,2025,11,12.1,3,8.7,50.93333333333333,93.43666666666667,24,20.0,-39.5,41.8,MILD,141.4,10.1,0
Adilabad,Adilabad Rural,2025,12,0.0,0,0.0,43.019354838709674,91.29032258064517,55,3.0666666666666664,-100.0,72.6,SEVERE,12.1,41.8,3
Adilabad,Adilabad Rural,2026,1,0.0,0,0.0,37.39677419354839,84.21935483870968,86,0.0,0.0,34.7,MILD,0.0,72.6,0
Adilabad,Adilabad Urban,2023,1,0.0,0,0.0,36.82272727272727,96.0909090909091,22,0.0,0.0,23.2,MILD,0.0,0.0,0
Adilabad,Adilabad Urban,2023,2,0.0,0,0.0,22.389473684210525,85.88947368421053,41,1.8333333333333333,-100.0,74.2,SEVERE,0.0,23.2,3
Adilabad,Adilabad Urban,2023,3,6.9,4,2.6,29.031818181818185,82.24090909090908,47,12.966666666666667,-46.8,54.0,MODERATE,0.0,74.2,1
Adilabad,Adilabad Urban,2023,4,70.5,12,47.4,26.803333333333335,77.55333333333333,11,47.86666666666667,47.3,17.7,NORMAL,6.9,54.0,2
Adilabad,Adilabad Urban,2023,5,35.7,4,27.9,29.61935483870968,75.85483870967742,23,67.73333333333333,-47.3,49.2,MODERATE,70.5,17.7,1
